post_id,topic_id,topic_date,post_date,topic,post,category_id,category,user_id_author,username,email,user_id_rating,rating
1,1,2018-03-10 13:43,2018-03-10 13:43,Image yes trial top up rate wish.,Last third floor per big series.,8,Video Games,3,lisa.beer,lisa.beer@example.com,1,1
1,1,2018-03-10 13:43,2018-03-10 13:43,Image yes trial top up rate wish.,Last third floor per big series.,8,Video Games,3,lisa.beer,lisa.beer@example.com,6,1
1,1,2018-03-10 13:43,2018-03-10 13:43,Image yes trial top up rate wish.,Last third floor per big series.,8,Video Games,3,lisa.beer,lisa.beer@example.com,8,-1
1,1,2018-03-10 13:43,2018-03-10 13:43,Image yes trial top up rate wish.,Last third floor per big series.,8,Video Games,3,lisa.beer,lisa.beer@example.com,21,1
1,1,2018-03-10 13:43,2018-03-10 13:43,Image yes trial top up rate wish.,Last third floor per big series.,8,Video Games,3,lisa.beer,lisa.beer@example.com,22,1
1,1,2018-03-10 13:43,2018-03-10 13:43,Image yes trial top up rate wish.,Last third floor per big series.,8,Video Games,3,lisa.beer,lisa.beer@example.com,25,-1
1,1,2018-03-10 13:43,2018-03-10 13:43,Image yes trial top up rate wish.,Last third floor per big series.,8,Video Games,3,lisa.beer,lisa.beer@example.com,46,1
2,1,2018-03-10 13:43,2018-03-11 3:28,Image yes trial top up rate wish.,Today year already fear shake explain reflect true economic.,8,Video Games,1,agustina.stokes,agustina.stokes@example.com,8,1
2,1,2018-03-10 13:43,2018-03-11 3:28,Image yes trial top up rate wish.,Today year already fear shake explain reflect true economic.,8,Video Games,1,agustina.stokes,agustina.stokes@example.com,14,-1
2,1,2018-03-10 13:43,2018-03-11 3:28,Image yes trial top up rate wish.,Today year already fear shake explain reflect true economic.,8,Video Games,1,agustina.stokes,agustina.stokes@example.com,18,1
2,1,2018-03-10 13:43,2018-03-11 3:28,Image yes trial top up rate wish.,Today year already fear shake explain reflect true economic.,8,Video Games,1,agustina.stokes,agustina.stokes@example.com,26,1
2,1,2018-03-10 13:43,2018-03-11 3:28,Image yes trial top up rate wish.,Today year already fear shake explain reflect true economic.,8,Video Games,1,agustina.stokes,agustina.stokes@example.com,48,1
3,2,2018-03-11 9:25,2018-03-11 9:25,Series serious impact her cultural happen letter.,Without save deep drop financial Congress this less surface laugh TV according water.,3,Vancouver,2,gayle45,gayle45@example.com,21,1
3,2,2018-03-11 9:25,2018-03-11 9:25,Series serious impact her cultural happen letter.,Without save deep drop financial Congress this less surface laugh TV according water.,3,Vancouver,2,gayle45,gayle45@example.com,30,1
3,2,2018-03-11 9:25,2018-03-11 9:25,Series serious impact her cultural happen letter.,Without save deep drop financial Congress this less surface laugh TV according water.,3,Vancouver,2,gayle45,gayle45@example.com,33,1
3,2,2018-03-11 9:25,2018-03-11 9:25,Series serious impact her cultural happen letter.,Without save deep drop financial Congress this less surface laugh TV according water.,3,Vancouver,2,gayle45,gayle45@example.com,47,1
3,2,2018-03-11 9:25,2018-03-11 9:25,Series serious impact her cultural happen letter.,Without save deep drop financial Congress this less surface laugh TV according water.,3,Vancouver,2,gayle45,gayle45@example.com,49,-1
